Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
1 : 	W xx..x	Z x...x	2	8	9	5	6	22	12	10	28	18	23	26	....x	.x..x	x	.	.
2 : 	W xx..x	A xx...	3	9	10	6	7	23	13	10	28	18	23	26	.x...	.x..x	x	x	x
3 : 	V .xxxx	H ..x.x	4	10	11	7	8	24	14	11	29	19	24	27	xxxxx	x.x.x	.	.	.
4 : 	P .xx.x	L .x..x	5	11	12	8	9	25	14	11	29	19	24	27	x...x	x.x.x	x	.	.
5 : 	X x.xxx	E x....	6	12	13	9	10	26	15	11	29	19	24	27	x..x.	x.x.x	.	.	x
6 : 	A xx...	N ..xx.	7	13	14	10	11	27	15	12	30	20	25	28	x..x.	.xx..	x	.	x
7 : 	+ xx.xx	+ xx.xx	8	14	15	11	12	28	16	13	31	21	26	29	.x..x	.x..x	x	x	x
8 : 	/ .....	+ xx.xx	9	15	16	12	13	29	17	14	32	22	27	30	..x..	xxxxx	.	.	.
9 : 	X x.xxx	N ..xx.	10	16	17	13	14	30	17	14	32	22	27	30	.xxx.	xxxxx	x	.	x
10 : 	Z x...x	- xxxxx	11	17	18	14	15	31	18	15	33	23	28	31	..x..	.x.x.	x	x	x
11 : 	O ...xx	- xxxxx	12	18	19	15	16	32	19	16	34	24	29	32	xx..x	..x.x	.	.	x
12 : 	E x....	+ xx.xx	13	19	20	16	17	33	19	17	35	25	30	33	xx.xx	x....	.	.	.
13 : 	I .xx..	+ xx.xx	14	20	21	17	18	34	19	17	35	25	30	33	..xxx	x....	.	.	.
14 : 	E x....	. ..x..	15	21	22	18	19	35	19	17	35	25	30	33	..x..	x....	x	.	x
15 : 	A xx...	- xxxxx	16	22	23	19	20	36	20	18	36	26	31	34	....x	..xx.	x	x	x
16 : 	N ..xx.	- xxxxx	17	23	24	20	21	37	21	19	37	27	32	35	.xxxx	x.xx.	.	x	x
17 : 	D x..x.	B x..xx	18	24	25	21	22	38	21	20	38	28	33	36	x.x.x	x.x..	.	x	x
18 : 	T ....x	I .xx..	19	25	26	22	23	39	21	21	39	29	34	37	.....	.xx.x	.	x	x
19 : 	L .x..x	T ....x	20	26	27	23	1	40	21	22	40	30	35	38	x..x.	xx.x.	.	x	x
20 : 	I .xx..	T ....x	21	27	28	24	2	41	21	23	41	31	36	39	x.xxx	xx.x.	x	x	x
21 : 	K xxxx.	E x....	22	28	29	25	3	42	22	24	42	32	37	40	.xxx.	.....	x	x	x
22 : 	3 ...x.	+ xx.xx	23	29	1	26	4	43	23	25	43	33	38	41	.x.x.	x..xx	x	.	.
23 : 	E x....	+ xx.xx	24	30	2	1	5	44	24	25	43	33	38	41	xx...	x..xx	x	x	x
24 : 	V .xxxx	. ..x..	25	31	3	2	6	45	25	26	44	34	39	42	..x.x	.xxx.	.	.	.
25 : 	- xxxxx	- xxxxx	26	1	4	3	7	46	25	26	44	34	39	42	.xxx.	.xxx.	x	.	x
26 : 	F x.xx.	- xxxxx	27	2	5	4	8	47	26	27	45	35	40	43	xxxxx	x.xx.	x	x	x
27 : 	H ..x.x	+ xx.xx	28	3	6	5	9	48	27	28	46	36	41	44	x...x	.xxxx	.	.	.
28 : 	E x....	+ xx.xx	29	4	7	6	10	49	27	28	46	36	41	44	..x..	.xxxx	.	.	x
29 : 	Z x...x	. ..x..	30	5	8	7	11	50	27	29	47	37	42	45	xxxx.	.x.xx	x	.	x
30 : 	N ..xx.	- xxxxx	31	6	9	8	12	51	28	30	1	38	43	46	.x..x	x....	x	x	x
31 : 	F x.xx.	- xxxxx	32	7	10	9	13	52	29	31	2	39	44	47	xx.x.	x..xx	.	.	.
32 : 	X x.xxx	D x..x.	33	8	11	10	14	53	29	31	2	39	44	47	x.xx.	x..xx	.	.	.
