Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
54 : 	I .xx..	A xx...	14	31	3	6	13	15	36	22	15	6	14	49	..x..	x....	x	x	x
55 : 	I .xx..	U xxx..	15	1	4	7	14	16	37	23	16	7	15	50	.xxx.	xxxx.	x	.	x
56 : 	W xx..x	S x.x..	16	2	5	8	15	17	1	24	17	8	16	51	.xx..	....x	.	x	x
57 : 	4 .x...	S x.x..	17	3	6	9	16	18	1	25	18	9	17	52	...xx	xxxxx	.	x	x
58 : 	K xxxx.	T ....x	18	4	7	10	17	19	1	26	19	10	18	53	x.xxx	.x...	.	x	x
59 : 	G .x.xx	E x....	19	5	8	11	18	20	1	27	20	11	19	54	.xx.x	x.xx.	x	x	x
60 : 	D x..x.	L .x..x	20	6	9	12	19	21	2	28	21	12	20	55	xx...	...xx	x	.	.
61 : 	Z x...x	L .x..x	21	7	10	13	20	22	3	28	21	12	20	55	xx.xx	...xx	x	x	x
62 : 	Y x.x.x	U xxx..	22	8	11	14	21	23	4	29	22	13	21	56	..x.x	.xx..	x	x	x
63 : 	S x.x..	N ..xx.	23	9	12	15	22	24	5	30	23	14	22	57	.x..x	xx.xx	.	x	x
64 : 	T ....x	G .x.xx	24	10	13	16	23	25	5	31	24	15	23	58	xx.x.	x....	x	x	x
65 : 	S x.x..	+ xx.xx	25	11	14	17	1	26	6	32	25	16	24	59	...x.	.xx.x	.	.	.
66 : 	X x.xxx	+ xx.xx	26	12	15	18	2	27	6	32	25	16	24	59	....x	.xx.x	x	.	x
67 : 	/ .....	. ..x..	27	13	16	19	3	28	7	33	26	17	25	1	x.x..	x....	x	x	x
68 : 	E x....	- xxxxx	28	14	17	20	4	29	8	34	27	18	26	2	xxxx.	x...x	.	.	x
69 : 	H ..x.x	- xxxxx	29	15	18	21	5	30	8	35	28	19	27	3	..x..	xxxx.	x	.	.
70 : 	L .x..x	C .xxx.	30	16	19	22	6	31	9	35	28	19	27	3	xx..x	xxxx.	x	x	x
71 : 	N ..xx.	O ...xx	31	17	20	23	7	32	10	36	29	20	28	4	...x.	..xxx	.	.	.
72 : 	- xxxxx	M ..xxx	32	18	21	24	8	33	10	36	29	20	28	4	xxxxx	..xxx	.	.	x
73 : 	J xx.x.	P .xx.x	33	19	22	25	9	34	10	37	30	21	29	5	xxxxx	.x...	.	.	.
74 : 	F x.xx.	U xxx..	34	20	23	26	10	35	10	37	30	21	29	5	...x.	.x...	x	.	.
75 : 	Q xxx.x	T ....x	35	21	24	1	11	36	11	37	30	21	29	5	x.x..	.x...	x	x	x
76 : 	4 .x...	E x....	36	22	25	2	12	37	12	38	31	22	30	6	..x.x	xxx.x	.	.	x
77 : 	R .x.x.	R .x.x.	37	23	26	3	13	38	12	39	32	23	31	7	xx.x.	xx.x.	.	.	x
78 : 	F x.xx.	+ xx.xx	38	24	27	4	14	39	12	40	33	24	32	8	x..x.	xxxxx	.	.	.
79 : 	E x....	+ xx.xx	39	25	28	5	15	40	12	40	33	24	32	8	x.x..	xxxxx	.	.	x
80 : 	D x..x.	M ..xxx	40	26	29	6	16	41	12	41	34	25	33	9	x.x.x	.....	x	.	x
81 : 	W xx..x	- xxxxx	41	27	1	7	17	42	13	42	35	26	34	10	...xx	..x.x	x	x	x
82 : 	Z x...x	- xxxxx	1	28	2	8	18	43	14	43	36	27	35	11	.x..x	..xxx	x	.	x
