Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	BM 	TM
86 : 	M ..xxx	O ...xx	39	19	0	8	16	36	9	30	44	30	33	30	xxx.x	xx..x	x	x
87 : 	F x.xx.	Y x.x.x	40	20	1	9	17	37	10	30	44	30	33	30	x..xx	x....	.	.
88 : 	i .....	B x..xx	0	21	2	10	18	38	10	31	45	31	34	31	...xx	x....	x	x
89 : 	Q xxx.x	D x..x.	1	22	3	11	19	39	10	32	46	32	35	32	..x..	.x.xx	x	x
90 : 	R .x.x.	Q xxx.x	2	23	4	12	20	40	10	33	0	33	36	33	.xx.x	xx.x.	x	x
91 : 	U xxx..	V .xxxx	3	24	5	13	21	41	10	34	1	34	37	34	..xxx	x.x..	x	x
92 : 	B x..xx	S x.x..	4	25	6	14	22	42	11	35	2	35	38	35	x...x	x.xx.	x	x
93 : 	T ....x	> xx.xx	5	26	7	15	0	43	12	36	3	36	39	36	x.x..	.xxx.	.	x
94 : 	< xxxxx	R .x.x.	6	27	8	16	1	44	13	37	4	37	40	37	x.xx.	...xx	x	x
95 : 	C .xxx.	V .xxxx	7	28	9	17	2	45	14	38	5	38	41	38	xx.xx	xx.x.	.	x
96 : 	L .x..x	> xx.xx	8	29	10	18	3	46	14	38	5	38	41	38	.x...	xx.x.	.	.
97 : 	S x.x..	n ...x.	9	30	11	19	4	47	15	38	5	38	41	38	.xx..	xx.x.	.	.
98 : 	O ...xx	> xx.xx	10	0	12	20	5	48	16	39	6	39	42	39	...x.	xx.x.	x	x
99 : 	< xxxxx	n ...x.	11	1	13	21	6	49	16	40	7	40	43	40	.x..x	x.x..	.	x
100 : 	Q xxx.x	R .x.x.	12	2	14	22	7	50	16	40	7	40	43	40	xx...	.xxxx	.	.
101 : 	F x.xx.	R .x.x.	13	3	15	23	8	51	17	40	7	40	43	40	x..xx	.xxxx	.	.
102 : 	M ..xxx	V .xxxx	14	4	16	24	9	52	18	41	8	41	44	41	..xxx	.xxxx	x	x
103 : 	i .....	R .x.x.	15	5	17	25	10	53	18	42	9	42	45	42	.xxx.	..x..	.	x
104 : 	I .xx..	R .x.x.	16	6	18	0	11	54	18	42	9	42	45	42	.xxx.	.x...	.	.
105 : 	> xx.xx	J xx.x.	17	7	19	1	12	55	18	42	9	42	45	42	.x..x	.x...	.	.
106 : 	_ ..x..	U xxx..	18	8	20	2	13	56	19	42	9	42	45	42	x....	.x...	.	.
107 : 	I .xx..	R .x.x.	19	9	21	3	14	57	20	0	10	43	46	43	.xxx.	.x...	x	x
108 : 	T ....x	A xx...	20	10	22	4	15	58	20	1	11	44	47	44	xxxx.	..xxx	x	x
109 : 	R .x.x.	F x.xx.	21	11	23	5	16	59	20	2	12	45	48	45	x...x	.xx.x	x	x
110 : 	F x.xx.	O ...xx	22	12	24	6	17	60	20	3	13	46	49	46	..x.x	x....	x	x
111 : 	K xxxx.	E x....	23	13	25	7	18	0	20	4	14	47	50	47	..xxx	.x..x	x	x
112 : 	L .x..x	_ ..x..	24	14	26	8	19	1	21	5	15	48	51	48	xx...	x.x.x	x	x
113 : 	J xx.x.	B x..xx	25	15	27	9	20	2	22	6	16	49	52	49	...xx	.x.x.	x	x
114 : 	V .xxxx	E x....	26	16	28	10	21	3	23	7	17	50	0	50	.xxxx	x....	.	x
115 : 	L .x..x	B x..xx	27	17	0	11	22	4	24	8	18	0	1	51	x.x.x	.xxxx	x	x
116 : 	Z x...x	S x.x..	28	18	1	12	0	5	24	9	19	1	2	52	xx...	xxx.x	.	x
117 : 	N ..xx.	C .xxx.	29	19	2	13	1	6	25	9	19	1	2	52	.x.x.	...x.	.	.
118 : 	C .xxx.	W xx..x	30	20	3	14	2	7	25	10	20	2	3	53	x.x.x	...x.	x	x
119 : 	E x....	i .....	31	21	4	15	3	8	26	11	21	3	4	54	..x..	x.x..	x	x
120 : 	E x....	V .xxxx	32	22	5	16	4	9	27	12	22	4	5	55	x.xx.	.x..x	.	x
121 : 	T ....x	Y x.x.x	33	23	6	17	5	10	27	13	23	5	6	56	xx.x.	.xxx.	x	x
122 : 	E x....	N ..xx.	34	24	7	18	6	11	27	14	24	6	7	57	..x.x	x..xx	x	x
123 : 	J xx.x.	n ...x.	35	25	8	19	7	12	28	15	25	7	8	58	x.x..	.xx..	x	x
124 : 	F x.xx.	F x.xx.	36	26	9	20	8	13	29	16	26	8	9	0	...xx	...xx	.	x
125 : 	W xx..x	U xxx..	37	27	10	21	9	14	29	17	27	9	10	1	x...x	x.x..	x	x
126 : 	S x.x..	O ...xx	38	28	11	22	10	15	29	18	28	10	11	2	xxx..	.x.xx	x	x
127 : 	N ..xx.	r .x...	39	29	12	23	11	16	30	19	29	11	12	3	xx.x.	x.x..	x	x
128 : 	M ..xxx	M ..xxx	40	30	13	24	12	17	31	19	29	11	12	3	xx.xx	xx.xx	.	.
129 : 	Y x.x.x	I .xx..	0	0	14	25	13	18	31	20	30	12	13	4	...x.	xx.xx	x	x
130 : 	> xx.xx	Q xxx.x	1	1	15	0	14	19	31	21	31	13	14	5	.x.x.	.xx..	x	x
131 : 	W xx..x	C .xxx.	2	2	16	1	15	20	31	22	32	14	15	6	.xx..	xx.xx	x	x
132 : 	Q xxx.x	i .....	3	3	17	2	16	21	32	23	33	15	16	7	..x.x	xx...	x	x
133 : 	i .....	E x....	4	4	18	3	17	22	33	24	34	16	17	8	x.xxx	..xxx	.	x
134 : 	E x....	> xx.xx	5	5	19	4	18	23	34	25	35	17	18	9	xx.xx	x....	x	x
135 : 	R .x.x.	Z x...x	6	6	20	5	19	24	35	25	35	17	18	9	xx...	...xx	.	.
136 : 	T ....x	< xxxxx	7	7	21	6	20	25	35	26	36	18	19	10	xxx.x	...xx	x	x
137 : 	I .xx..	U xxx..	8	8	22	7	21	26	36	27	37	19	20	11	..xxx	x.xxx	x	x
138 : 	i .....	P .xx.x	9	9	23	8	22	27	36	28	38	20	21	12	.x..x	..x..	.	x
139 : 	i .....	_ ..x..	10	10	24	9	0	28	0	28	38	20	21	12	.xxx.	.x.x.	.	.
140 : 	U xxx..	E x....	11	11	25	10	1	29	1	29	39	21	22	13	..xx.	.x.x.	x	x
141 : 	B x..xx	K xxxx.	12	12	26	11	2	30	1	30	40	22	23	14	x...x	xxx..	.	x
142 : 	B x..xx	J xx.x.	13	13	27	12	3	31	2	31	41	23	24	15	x....	xx..x	.	x
143 : 	> xx.xx	Z x...x	14	14	28	13	4	32	3	32	42	24	25	16	.xxx.	..x..	x	x
