Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
1643 : 	T ....x	N ..xx.	4	2	27	12	16	14	24	5	44	28	36	13	xx..x	xxxx.	.	x	x
1644 : 	P .xx.x	K xxxx.	5	3	28	13	17	15	24	6	45	29	37	14	x.xxx	..x..	x	x	x
1645 : 	Q xxx.x	B x..xx	6	4	29	14	18	16	25	7	46	30	38	15	x.x.x	xx.xx	x	.	x
1646 : 	R .x.x.	A xx...	7	5	1	15	19	17	26	8	47	31	39	16	xx...	.x.x.	.	x	x
1647 : 	D x..x.	R .x.x.	8	6	2	16	20	18	26	9	1	32	40	17	.x.xx	x..xx	.	x	x
1648 : 	F x.xx.	+ xx.xx	9	7	3	17	21	19	26	10	2	33	41	18	.xxxx	...x.	.	x	x
1649 : 	/ .....	+ xx.xx	10	8	4	18	22	20	26	11	3	34	42	19	..x.x	xxxx.	x	x	x
1650 : 	P .xx.x	. ..x..	11	9	5	19	23	21	27	12	4	35	43	20	.xx..	..x.x	x	.	x
1651 : 	R .x.x.	- xxxxx	12	10	6	20	1	22	28	13	5	36	44	21	xx.x.	.xxxx	x	x	x
1652 : 	B x..xx	- xxxxx	13	11	7	21	2	23	29	14	6	37	45	22	x.x.x	xx..x	x	.	.
1653 : 	Z x...x	I .xx..	14	12	8	22	3	24	30	14	6	37	45	22	..x..	xx..x	.	x	x
1654 : 	F x.xx.	S x.x..	15	13	9	23	4	25	30	15	7	38	46	23	...x.	.....	x	x	x
1655 : 	/ .....	T ....x	16	14	10	24	5	26	31	16	8	39	47	24	.x.x.	.x.xx	.	.	x
1656 : 	L .x..x	+ xx.xx	17	15	11	25	6	27	31	17	9	40	48	25	..xxx	x.x.x	x	.	.
1657 : 	S x.x..	+ xx.xx	18	16	12	26	7	28	32	17	9	40	48	25	xx.x.	x.x.x	x	x	x
1658 : 	R .x.x.	N ..xx.	19	17	13	1	8	29	33	18	10	41	49	26	....x	.xx.x	.	.	.
1659 : 	E x....	. ..x..	20	18	14	2	9	30	33	18	10	41	49	26	xx..x	.xx.x	x	.	x
1660 : 	E x....	- xxxxx	21	19	15	3	10	31	34	19	11	42	50	27	xx.x.	x.x.x	x	x	x
1661 : 	T ....x	- xxxxx	22	20	16	4	11	32	35	20	12	43	51	28	..xx.	xx...	.	.	.
1662 : 	C .xxx.	B x..xx	23	21	17	5	12	33	35	20	12	43	51	28	..x.x	xx...	.	.	x
1663 : 	O ...xx	E x....	24	22	18	6	13	34	35	21	13	44	52	29	x.x..	..xxx	.	.	x
1664 : 	F x.xx.	T ....x	25	23	19	7	14	35	35	22	14	45	53	30	.x.x.	xxx.x	x	.	x
1665 : 	Z x...x	O ...xx	26	24	20	8	15	36	36	23	15	46	1	31	.....	x..x.	x	x	x
1666 : 	A xx...	N ..xx.	27	25	21	9	16	37	37	24	16	47	2	32	x.xxx	.x..x	.	.	x
1667 : 	/ .....	T ....x	28	26	22	10	17	38	37	25	17	48	3	33	x.xxx	x.xx.	.	.	x
1668 : 	D x..x.	+ xx.xx	29	27	23	11	18	39	37	26	18	49	4	34	....x	.x...	.	.	x
1669 : 	- xxxxx	+ xx.xx	30	28	24	12	19	40	37	27	19	50	5	35	xxx..	xx...	.	.	x
1670 : 	P .xx.x	. ..x..	31	29	25	13	20	41	37	28	20	51	6	36	.xxxx	..xx.	x	.	.
1671 : 	/ .....	- xxxxx	32	30	26	14	21	42	1	28	20	51	6	36	xx..x	..xx.	x	x	x
1672 : 	L .x..x	- xxxxx	33	31	27	15	22	43	2	29	21	1	7	37	x...x	..xxx	x	.	.
1673 : 	I .xx..	H ..x.x	34	1	28	16	23	44	3	29	21	1	7	37	.xxx.	..xxx	x	x	x
1674 : 	/ .....	N ..xx.	35	2	29	17	1	45	4	30	22	2	8	38	xxxx.	xx...	.	x	x
1675 : 	L .x..x	F x.xx.	36	3	1	18	2	46	4	31	23	3	9	39	....x	xxxx.	x	x	x
1676 : 	V .xxxx	- xxxxx	37	4	2	19	3	47	5	32	24	4	10	40	x....	.....	x	x	x
1677 : 	R .x.x.	G .x.xx	38	5	3	20	4	48	6	33	25	5	11	41	xxxx.	xxxxx	.	.	x
1678 : 	U xxx..	E x....	39	6	4	21	5	49	6	34	26	6	12	42	xxx..	x....	.	.	.
1679 : 	W xx..x	S x.x..	40	7	5	22	6	50	6	34	26	6	12	42	xxx.x	x....	x	.	.
1680 : 	U xxx..	C .xxx.	41	8	6	23	7	51	7	34	26	6	12	42	...x.	x....	x	x	x
1681 : 	U xxx..	H ..x.x	1	9	7	24	8	52	8	35	27	7	13	43	.xxxx	x.xx.	.	.	x
1682 : 	K xxxx.	A xx...	2	10	8	25	9	53	8	36	28	8	14	44	.xxxx	.x..x	.	.	.
1683 : 	Q xxx.x	F x.xx.	3	11	9	26	10	54	8	36	28	8	14	44	...x.	.x..x	.	.	.
1684 : 	A xx...	T ....x	4	12	10	1	11	55	8	36	28	8	14	44	x....	.x..x	x	.	x
1685 : 	N ..xx.	S x.x..	5	13	11	2	12	56	9	37	29	9	15	45	x.x.x	..xxx	x	x	x
1686 : 	S x.x..	F x.xx.	6	14	12	3	13	57	10	38	30	10	16	46	xx.x.	xx...	.	.	x
1687 : 	Z x...x	U xxx..	7	15	13	4	14	58	10	39	31	11	17	47	x..x.	xxxxx	.	.	.
1688 : 	D x..x.	H ..x.x	8	16	14	5	15	59	10	39	31	11	17	47	.x...	xxxxx	.	.	x
1689 : 	D x..x.	R .x.x.	9	17	15	6	16	60	10	40	32	12	18	48	....x	xx..x	.	.	.
1690 : 	N ..xx.	E x....	10	18	16	7	17	61	10	40	32	12	18	48	.xxxx	xx..x	x	.	x
1691 : 	L .x..x	R .x.x.	11	19	17	8	18	1	11	41	33	13	19	49	.xx.x	.xxx.	x	x	x
1692 : 	V .xxxx	+ xx.xx	12	20	18	9	19	2	12	42	34	14	20	50	x.xx.	...x.	x	.	.
1693 : 	R .x.x.	+ xx.xx	13	21	19	10	20	3	13	42	34	14	20	50	x..xx	...x.	x	x	x
1694 : 	. ..x..	. ..x..	14	22	20	11	21	4	14	43	35	15	21	51	....x	....x	.	.	x
1695 : 	Y x.x.x	- xxxxx	15	23	21	12	22	5	14	1	36	16	22	52	.xx.x	..xxx	x	.	x
1696 : 	W xx..x	- xxxxx	16	24	22	13	23	6	15	2	37	17	23	53	..xx.	.....	.	.	.
1697 : 	D x..x.	D x..x.	17	25	23	14	1	7	15	2	37	17	23	53	.....	.....	x	.	x
1698 : 	V .xxxx	R .x.x.	18	26	24	15	2	8	16	3	38	18	24	54	x.x.x	x....	x	x	x
1699 : 	E x....	+ xx.xx	19	27	25	16	3	9	17	4	39	19	25	55	..xx.	.xx.x	.	.	x
1700 : 	Q xxx.x	+ xx.xx	20	28	26	17	4	10	17	5	40	20	26	56	xx.x.	xxx..	.	.	x
1701 : 	S x.x..	M ..xxx	21	29	27	18	5	11	17	6	41	21	27	57	xx...	.x.xx	x	.	.
1702 : 	3 ...x.	. ..x..	22	30	28	19	6	12	18	6	41	21	27	57	.xx.x	.x.xx	x	x	x
1703 : 	V .xxxx	- xxxxx	23	31	29	20	7	13	19	7	42	22	28	58	..xx.	x.xx.	.	.	.
1704 : 	E x....	- xxxxx	24	1	1	21	8	14	19	7	42	22	28	58	xx..x	x.xx.	.	.	x
1705 : 	F x.xx.	K xxxx.	25	2	2	22	9	15	19	8	43	23	29	59	.x..x	....x	x	.	.
1706 : 	+ xx.xx	U xxx..	26	3	3	23	10	16	20	8	43	23	29	59	..xx.	....x	x	x	x
1707 : 	/ .....	R .x.x.	27	4	4	24	11	17	21	9	44	24	30	1	x.xx.	xxx..	.	x	x
1708 : 	Q xxx.x	T ....x	28	5	5	25	12	18	21	10	45	25	31	2	xxxxx	...xx	.	x	x
1709 : 	V .xxxx	+ xx.xx	29	6	6	26	13	19	21	11	46	26	32	3	.x.x.	xxxx.	.	x	x
1710 : 	R .x.x.	+ xx.xx	30	7	7	1	14	20	21	12	47	27	33	4	xxx..	.xx.x	x	x	x
1711 : 	3 ...x.	3 ...x.	31	8	8	2	15	21	22	13	1	28	34	5	..x..	..x..	x	x	x
1712 : 	X x.xxx	+ xx.xx	32	9	9	3	16	22	23	14	2	29	35	6	xx.xx	x.xxx	x	.	x
1713 : 	R .x.x.	+ xx.xx	33	10	10	4	17	23	24	15	3	30	36	7	xx.xx	.x.x.	x	x	x
1714 : 	I .xx..	4 .x...	34	11	11	5	18	24	25	16	4	31	37	8	..x.x	....x	.	.	.
1715 : 	Y x.x.x	. ..x..	35	12	12	6	19	25	25	16	4	31	37	8	x....	....x	x	.	x
1716 : 	N ..xx.	- xxxxx	36	13	13	7	20	26	26	17	5	32	38	9	...xx	xx.x.	.	x	x
1717 : 	P .xx.x	- xxxxx	37	14	14	8	21	27	26	18	6	33	39	10	xx..x	.x.xx	x	x	x
1718 : 	X x.xxx	B x..xx	38	15	15	9	22	28	27	19	7	34	40	11	x..xx	x.xxx	x	.	.
1719 : 	W xx..x	E x....	39	16	16	10	23	29	28	19	7	34	40	11	xxxx.	x.xxx	.	x	x
1720 : 	N ..xx.	I .xx..	40	17	17	11	1	30	28	20	8	35	41	12	x.x..	xxxx.	x	x	x
1721 : 	+ xx.xx	E x....	41	18	18	12	2	31	29	21	9	36	42	13	.xx.x	..xx.	x	.	x
1722 : 	A xx...	R .x.x.	1	19	19	13	3	32	30	22	10	37	43	14	.x.x.	xx...	.	x	x
1723 : 	M ..xxx	S x.x..	2	20	20	14	4	33	30	23	11	38	44	15	.....	x..xx	.	x	x
1724 : 	K xxxx.	D x..x.	3	21	21	15	5	34	30	24	12	39	45	16	..x..	.x...	.	x	x
1725 : 	T ....x	O ...xx	4	22	22	16	6	35	30	25	13	40	46	17	x.xxx	x.x.x	x	x	x
1726 : 	K xxxx.	R .x.x.	5	23	23	17	7	36	31	26	14	41	47	18	xx.x.	.xxx.	x	.	x
1727 : 	X x.xxx	F x.xx.	6	24	24	18	8	37	32	27	15	42	48	19	x.x.x	x.x..	.	x	x
1728 : 	I .xx..	E x....	7	25	25	19	9	38	32	28	16	43	49	20	x.x.x	.x..x	.	x	x
1729 : 	P .xx.x	R .x.x.	8	26	26	20	10	39	32	29	17	44	50	21	...x.	..x.x	.	x	x
1730 : 	N ..xx.	+ xx.xx	9	27	27	21	11	40	32	30	18	45	51	22	.....	xxx.x	.	x	x
1731 : 	I .xx..	+ xx.xx	10	28	28	22	12	41	32	31	19	46	52	23	.xx.x	xx.x.	x	x	x
1732 : 	G .x.xx	. ..x..	11	29	29	23	13	42	33	32	20	47	53	24	.xxx.	....x	x	.	.
1733 : 	. ..x..	- xxxxx	12	30	1	24	14	43	34	32	20	47	53	24	xx.x.	....x	x	x	x
1734 : 	J xx.x.	- xxxxx	13	31	2	25	15	44	35	33	21	48	1	25	x..x.	x.xxx	x	.	.
1735 : 	R .x.x.	D x..x.	14	1	3	26	16	45	36	33	21	48	1	25	.xxxx	x.xxx	.	x	x
1736 : 	A xx...	I .xx..	15	2	4	1	17	46	36	34	22	49	2	26	.xx.x	xx..x	x	x	x
1737 : 	C .xxx.	E x....	16	3	5	2	18	47	37	35	23	50	3	27	..x.x	xx.xx	x	.	.
1738 : 	3 ...x.	+ xx.xx	17	4	6	3	19	48	1	35	23	50	3	27	...x.	xx.xx	.	x	x
1739 : 	/ .....	+ xx.xx	18	5	7	4	20	49	1	36	24	51	4	28	xxxxx	..x..	.	x	x
1740 : 	. ..x..	. ..x..	19	6	8	5	21	50	1	37	25	1	5	29	.xx.x	.xx.x	x	x	x
1741 : 	Y x.x.x	- xxxxx	20	7	9	6	22	51	2	38	26	2	6	30	xx..x	x..xx	x	.	.
1742 : 	K xxxx.	- xxxxx	21	8	10	7	23	52	3	38	26	2	6	30	x..x.	x..xx	.	x	x
1743 : 	L .x..x	B x..xx	22	9	11	8	1	53	3	39	27	3	7	31	.xx..	x.xx.	.	x	x
1744 : 	3 ...x.	E x....	23	10	12	9	2	54	3	40	28	4	8	32	.x.xx	xx..x	.	x	x
1745 : 	N ..xx.	D x..x.	24	11	13	10	3	55	3	41	29	5	9	33	x..x.	..xx.	x	x	x
1746 : 	A xx...	E x....	25	12	14	11	4	56	4	42	30	6	10	34	.....	.x...	x	x	x
1747 : 	D x..x.	U xxx..	26	13	15	12	5	57	5	43	31	7	11	35	.....	.xxx.	.	x	x
1748 : 	F x.xx.	T ....x	27	14	16	13	6	58	5	1	32	8	12	36	xxxxx	.x...	.	x	x
1749 : 	M ..xxx	U xxx..	28	15	17	14	7	59	5	2	33	9	13	37	x.x..	.xxxx	.	x	x
1750 : 	+ xx.xx	N ..xx.	29	16	18	15	8	60	5	3	34	10	14	38	.xx.x	x....	.	x	x
1751 : 	K xxxx.	G .x.xx	30	17	19	16	9	61	5	4	35	11	15	39	x..xx	..xx.	x	x	x
1752 : 	T ....x	+ xx.xx	31	18	20	17	10	1	6	5	36	12	16	40	.x.x.	x....	x	.	x
1753 : 	/ .....	+ xx.xx	32	19	21	18	11	2	7	6	37	13	17	41	xxx..	..xxx	x	x	x
1754 : 	T ....x	. ..x..	33	20	22	19	12	3	8	7	38	14	18	42	x.x.x	x....	x	.	.
1755 : 	P .xx.x	- xxxxx	34	21	23	20	13	4	9	7	38	14	18	42	...x.	x....	.	x	x
1756 : 	T ....x	- xxxxx	35	22	24	21	14	5	9	8	39	15	19	43	x.x..	.x.x.	x	x	x
1757 : 	T ....x	D x..x.	36	23	25	22	15	6	10	9	40	16	20	44	.xx..	xxxxx	.	.	x
1758 : 	R .x.x.	E x....	37	24	26	23	16	7	10	10	41	17	21	45	x..xx	.x..x	x	.	.
1759 : 	E x....	R .x.x.	38	25	27	24	17	8	11	10	41	17	21	45	x..xx	.x..x	x	x	x
1760 : 	K xxxx.	+ xx.xx	39	26	28	25	18	9	12	11	42	18	22	46	x.xxx	x..x.	.	.	x
1761 : 	4 .x...	+ xx.xx	40	27	29	26	19	10	12	12	43	19	23	47	x.xx.	..x.x	.	.	x
1762 : 	/ .....	. ..x..	41	28	1	1	20	11	12	13	44	20	24	48	.x..x	.xx.x	x	.	x
1763 : 	N ..xx.	- xxxxx	1	29	2	2	21	12	13	14	45	21	25	49	.x..x	x....	x	x	x
1764 : 	U xxx..	- xxxxx	2	30	3	3	22	13	14	15	46	22	26	50	.xxxx	.xx..	.	.	.
1765 : 	D x..x.	A xx...	3	31	4	4	23	14	14	15	46	22	26	50	..xx.	.xx..	.	.	.
1766 : 	I .xx..	U xxx..	4	1	5	5	1	15	14	15	46	22	26	50	xxx..	.xx..	x	.	x
1767 : 	N ..xx.	S x.x..	5	2	6	6	2	16	15	16	47	23	27	51	xx..x	.x.xx	x	.	.
1768 : 	L .x..x	S x.x..	6	3	7	7	3	17	16	16	47	23	27	51	x.xx.	.x.xx	.	x	x
1769 : 	3 ...x.	T ....x	7	4	8	8	4	18	16	17	1	24	28	52	x.x..	x.xxx	.	x	x
1770 : 	J xx.x.	E x....	8	5	9	9	5	19	16	18	2	25	29	53	.x.x.	.....	.	x	x
1771 : 	K xxxx.	L .x..x	9	6	10	10	6	20	16	19	3	26	30	54	.x.xx	xxx..	x	x	x
1772 : 	D x..x.	L .x..x	10	7	11	11	7	21	17	20	4	27	31	55	.xx..	x.xxx	x	.	.
1773 : 	R .x.x.	U xxx..	11	8	12	12	8	22	18	20	4	27	31	55	....x	x.xxx	x	x	x
1774 : 	B x..xx	N ..xx.	12	9	13	13	9	23	19	21	5	28	32	56	xx.xx	.xxx.	x	.	x
1775 : 	C .xxx.	G .x.xx	13	10	14	14	10	24	20	22	6	29	33	57	xx...	xxx.x	.	x	x
1776 : 	S x.x..	. ..x..	14	11	15	15	11	25	20	23	7	30	34	58	.....	x....	x	x	x
1777 : 	X x.xxx	+ xx.xx	15	12	16	16	12	26	21	24	8	31	35	59	..xxx	.x.xx	.	x	x
1778 : 	V .xxxx	+ xx.xx	16	13	17	17	13	27	21	25	9	32	36	1	..xx.	x..x.	x	x	x
1779 : 	T ....x	. ..x..	17	14	18	18	14	28	22	26	10	33	37	2	.xx..	.x..x	x	x	x
1780 : 	W xx..x	- xxxxx	18	15	19	19	15	29	23	27	11	34	38	3	x....	x.xx.	.	.	.
1781 : 	3 ...x.	- xxxxx	19	16	20	20	16	30	23	27	11	34	38	3	.x.xx	x.xx.	x	.	x
1782 : 	4 .x...	D x..x.	20	17	21	21	17	31	24	28	12	35	39	4	x.x.x	.xxxx	x	x	x
1783 : 	X x.xxx	I .xx..	21	18	22	22	18	32	25	29	13	36	40	5	xxx.x	..xx.	.	.	x
1784 : 	T ....x	E x....	22	19	23	23	19	33	25	30	14	37	41	6	.x.x.	xx.xx	.	.	.
1785 : 	M ..xxx	+ xx.xx	23	20	24	24	20	34	25	30	14	37	41	6	..xxx	xx.xx	.	.	.
1786 : 	X x.xxx	+ xx.xx	24	21	25	25	21	35	25	30	14	37	41	6	x.xxx	xx.xx	x	.	x
1787 : 	Y x.x.x	. ..x..	25	22	26	26	22	36	26	31	15	38	42	7	...xx	x..x.	x	x	x
1788 : 	K xxxx.	- xxxxx	26	23	27	1	23	37	27	32	16	39	43	8	.x...	.x..x	.	.	x
1789 : 	Q xxx.x	- xxxxx	27	24	28	2	1	38	27	33	17	40	44	9	x.x..	x.xx.	.	.	.
1790 : 	. ..x..	H ..x.x	28	25	29	3	2	39	27	33	17	40	44	9	x.xxx	x.xx.	.	.	x
1791 : 	U xxx..	O ...xx	29	26	1	4	3	40	27	34	18	41	45	10	...x.	xxx.x	.	.	x
1792 : 	4 .x...	H ..x.x	30	27	2	5	4	41	27	35	19	42	46	11	x....	xxx.x	x	.	x
1793 : 	K xxxx.	E x....	31	28	3	6	5	42	28	36	20	43	47	12	.xx..	...x.	x	x	x
1794 : 	/ .....	+ xx.xx	32	29	4	7	6	43	29	37	21	44	48	13	xxxxx	..x..	x	.	.
1795 : 	O ...xx	+ xx.xx	33	30	5	8	7	44	30	37	21	44	48	13	xxx..	..x..	x	x	x
1796 : 	+ xx.xx	. ..x..	34	31	6	9	8	45	31	38	22	45	49	14	...xx	xxx..	.	.	.
1797 : 	U xxx..	- xxxxx	35	1	7	10	9	46	31	38	22	45	49	14	xxxxx	xxx..	x	.	x
1798 : 	R .x.x.	- xxxxx	36	2	8	11	10	47	32	39	23	46	50	15	.xx..	xx..x	x	x	x
1799 : 	I .xx..	I .xx..	37	3	9	12	11	48	33	40	24	47	51	16	x....	x....	.	.	.
1800 : 	H ..x.x	N ..xx.	38	4	10	13	12	49	33	40	24	47	51	16	x..xx	x....	.	.	x
1801 : 	D x..x.	T ....x	39	5	11	14	13	50	33	41	25	48	52	17	xxx..	.xxxx	x	.	x
1802 : 	4 .x...	E x....	40	6	12	15	14	51	34	42	26	49	53	18	xx...	.....	x	x	x
1803 : 	3 ...x.	R .x.x.	41	7	13	16	15	52	35	43	27	50	1	19	.x.x.	...x.	.	.	.
1804 : 	W xx..x	A xx...	1	8	14	17	16	53	35	43	27	50	1	19	...xx	...x.	.	.	.
1805 : 	Y x.x.x	K xxxx.	2	9	15	18	17	54	35	43	27	50	1	19	.x..x	...x.	.	.	x
1806 : 	T ....x	T ....x	3	10	16	19	18	55	35	1	28	51	2	20	.xx.x	.xx.x	x	.	.
1807 : 	X x.xxx	I .xx..	4	11	17	20	19	56	36	1	28	51	2	20	x.xx.	.xx.x	x	x	x
1808 : 	Q xxx.x	V .xxxx	5	12	18	21	20	57	37	2	29	1	3	21	x.x.x	..xxx	.	.	x
1809 : 	. ..x..	I .xx..	6	13	19	22	21	58	37	3	30	2	4	22	x...x	xx..x	.	.	x
1810 : 	F x.xx.	T ....x	7	14	20	23	22	59	37	4	31	3	5	23	xx.xx	.xx..	.	.	x
1811 : 	H ..x.x	A xx...	8	15	21	24	23	60	37	5	32	4	6	24	..xx.	xx.xx	.	.	.
1812 : 	S x.x..	T ....x	9	16	22	25	1	61	37	5	32	4	6	24	.xxx.	xx.xx	x	.	x
1813 : 	X x.xxx	+ xx.xx	10	17	23	26	2	1	1	6	33	5	7	25	...xx	.xxxx	x	x	x
1814 : 	N ..xx.	+ xx.xx	11	18	24	1	3	2	2	7	34	6	8	26	.xx..	x...x	x	.	x
1815 : 	- xxxxx	. ..x..	12	19	25	2	4	3	3	8	35	7	9	27	xxx..	..xxx	x	x	x
1816 : 	Q xxx.x	- xxxxx	13	20	26	3	5	4	4	9	36	8	10	28	x..x.	x....	.	x	x
1817 : 	+ xx.xx	- xxxxx	14	21	27	4	6	5	4	10	37	9	11	29	...xx	..xxx	x	x	x
1818 : 	T ....x	S x.x..	15	22	28	5	7	6	5	11	38	10	12	30	..x..	x...x	.	x	x
1819 : 	/ .....	O ...xx	16	23	29	6	8	7	5	12	39	11	13	31	.xx.x	.xxx.	x	x	x
1820 : 	/ .....	R .x.x.	17	24	1	7	9	8	6	13	40	12	14	32	...xx	.x..x	x	.	.
1821 : 	D x..x.	G .x.xx	18	25	2	8	10	9	7	13	40	12	14	32	x....	.x..x	.	x	x
1822 : 	W xx..x	T ....x	19	26	3	9	11	10	7	14	41	13	15	33	..xx.	xxxx.	.	x	x
1823 : 	I .xx..	+ xx.xx	20	27	4	10	12	11	7	15	42	14	16	34	x.xxx	.....	x	x	x
1824 : 	H ..x.x	+ xx.xx	21	28	5	11	13	12	8	16	43	15	17	35	xxx..	...x.	x	.	x
1825 : 	F x.xx.	3 ...x.	22	29	6	12	14	13	9	17	44	16	18	36	.x...	xxx..	.	x	x
1826 : 	F x.xx.	+ xx.xx	23	30	7	13	15	14	9	18	45	17	19	37	.xxx.	...xx	.	x	x
1827 : 	S x.x..	+ xx.xx	24	31	8	14	16	15	9	19	46	18	20	38	x.x.x	xx.x.	x	x	x
1828 : 	Q xxx.x	4 .x...	25	1	9	15	17	16	10	20	47	19	21	39	.x..x	xxx..	x	.	x
1829 : 	L .x..x	. ..x..	26	2	10	16	18	17	11	21	1	20	22	40	.x.xx	..xx.	.	x	x
1830 : 	A xx...	- xxxxx	27	3	11	17	19	18	11	22	2	21	23	41	x.xx.	x...x	.	x	x
1831 : 	D x..x.	- xxxxx	28	4	12	18	20	19	11	23	3	22	24	42	x...x	xxx..	.	x	x
1832 : 	- xxxxx	F x.xx.	29	5	13	19	21	20	11	24	4	23	25	43	.x..x	.....	x	x	x
1833 : 	J xx.x.	U xxx..	30	6	14	20	22	21	12	25	5	24	26	44	xx.xx	xxx.x	x	.	.
1834 : 	- xxxxx	R .x.x.	31	7	15	21	23	22	13	25	5	24	26	44	.x...	xxx.x	x	x	x
1835 : 	. ..x..	+ xx.xx	32	8	16	22	1	23	14	26	6	25	27	45	x.x..	.x.xx	x	.	.
1836 : 	V .xxxx	+ xx.xx	33	9	17	23	2	24	15	26	6	25	27	45	xxxxx	.x.xx	.	.	x
1837 : 	U xxx..	. ..x..	34	10	18	24	3	25	15	27	7	26	28	46	.xxx.	x.xx.	x	.	.
1838 : 	+ xx.xx	- xxxxx	35	11	19	25	4	26	16	27	7	26	28	46	x..x.	x.xx.	.	x	x
1839 : 	E x....	- xxxxx	36	12	20	26	5	27	16	28	8	27	29	47	...x.	.xx.x	x	x	x
1840 : 	/ .....	E x....	37	13	21	1	6	28	17	29	9	28	30	48	x.x.x	..x.x	x	.	x
1841 : 	C .xxx.	I .xx..	38	14	22	2	7	29	18	30	10	29	31	49	xxx..	xxxx.	.	x	x
1842 : 	M ..xxx	N ..xx.	39	15	23	3	8	30	18	31	11	30	32	50	x..xx	x..x.	x	x	x
1843 : 	N ..xx.	E x....	40	16	24	4	9	31	19	32	12	31	33	51	xxxxx	.x..x	x	.	x
1844 : 	C .xxx.	+ xx.xx	41	17	25	5	10	32	20	33	13	32	34	52	..x..	x...x	.	x	x
1845 : 	L .x..x	+ xx.xx	1	18	26	6	11	33	20	34	14	33	35	53	.x...	xx.x.	.	x	x
1846 : 	W xx..x	. ..x..	2	19	27	7	12	34	20	35	15	34	36	54	.x.xx	x.xx.	.	x	x
1847 : 	F x.xx.	- xxxxx	3	20	28	8	13	35	20	36	16	35	37	55	..x..	.xx.x	x	x	x
1848 : 	V .xxxx	- xxxxx	4	21	29	9	14	36	21	37	17	36	38	56	x.xx.	..xx.	x	x	x
1849 : 	Q xxx.x	S x.x..	5	22	1	10	15	37	22	38	18	37	39	57	x..x.	xx.xx	.	x	x
1850 : 	C .xxx.	P .xx.x	6	23	2	11	16	38	22	39	19	38	40	58	xx..x	xx.x.	.	x	x
1851 : 	K xxxx.	A xx...	7	24	3	12	17	39	22	40	20	39	41	59	x.x.x	x..xx	.	x	x
1852 : 	M ..xxx	N ..xx.	8	25	4	13	18	40	22	41	21	40	42	1	..xxx	..xx.	.	x	x
1853 : 	V .xxxx	N ..xx.	9	26	5	14	19	41	22	42	22	41	43	2	..x..	.xx.x	x	x	x
1854 : 	- xxxxx	E x....	10	27	6	15	20	42	23	43	23	42	44	3	....x	.xxx.	x	.	x
1855 : 	4 .x...	N ..xx.	11	28	7	16	21	43	24	1	24	43	45	4	.xxxx	....x	x	x	x
1856 : 	T ....x	D x..x.	12	29	8	17	22	44	25	2	25	44	46	5	xxxxx	.xx..	x	.	.
1857 : 	. ..x..	E x....	13	30	9	18	23	45	26	2	25	44	46	5	xx...	.xx..	.	x	x
1858 : 	I .xx..	+ xx.xx	14	31	10	19	1	46	26	3	26	45	47	6	.....	x.xxx	x	x	x
1859 : 	S x.x..	+ xx.xx	15	1	11	20	2	47	27	4	27	46	48	7	.xxxx	.....	x	.	x
1860 : 	Y x.x.x	. ..x..	16	2	12	21	3	48	28	5	28	47	49	8	.x...	xx..x	.	x	x
1861 : 	+ xx.xx	- xxxxx	17	3	13	22	4	49	28	6	29	48	50	9	.....	..x..	.	x	x
1862 : 	S x.x..	- xxxxx	18	4	14	23	5	50	28	7	30	49	51	10	x..x.	xx..x	x	x	x
1863 : 	V .xxxx	V .xxxx	19	5	15	24	6	51	29	8	31	50	52	11	.x.xx	.x.xx	x	.	x
1864 : 	D x..x.	E x....	20	6	16	25	7	52	30	9	32	51	53	12	xxxx.	xxx..	.	x	x
1865 : 	+ xx.xx	R .x.x.	21	7	17	26	8	53	30	10	33	1	1	13	xxxxx	.xxx.	.	x	x
1866 : 	D x..x.	M ..xxx	22	8	18	1	9	54	30	11	34	2	2	14	..x.x	x....	.	x	x
1867 : 	O ...xx	I .xx..	23	9	19	2	10	55	30	12	35	3	3	15	.x...	..xxx	x	x	x
1868 : 	+ xx.xx	T ....x	24	10	20	3	11	56	31	13	36	4	4	16	xx.x.	.....	x	.	.
1869 : 	N ..xx.	T ....x	25	11	21	4	12	57	32	13	36	4	4	16	..xxx	.....	.	x	x
1870 : 	A xx...	L .x..x	26	12	22	5	13	58	32	14	37	5	5	17	..x..	x.x.x	.	x	x
1871 : 	C .xxx.	U xxx..	27	13	23	6	14	59	32	15	38	6	6	18	x....	...x.	.	x	x
1872 : 	F x.xx.	N ..xx.	28	14	24	7	15	60	32	16	39	7	7	19	xxxx.	.xxx.	.	x	x
1873 : 	X x.xxx	G .x.xx	29	15	25	8	16	61	32	17	40	8	8	20	..x.x	xx..x	x	x	x
1874 : 	V .xxxx	+ xx.xx	30	16	26	9	17	1	33	18	41	9	9	21	xx.xx	.xxxx	x	.	x
1875 : 	L .x..x	+ xx.xx	31	17	27	10	18	2	34	19	42	10	10	22	...xx	x...x	x	x	x
1876 : 	C .xxx.	. ..x..	32	18	28	11	19	3	35	20	43	11	11	23	xxx..	x.xx.	x	.	x
1877 : 	G .x.xx	- xxxxx	33	19	29	12	20	4	36	21	44	12	12	24	xxx.x	.x..x	.	x	x
